2024-05-02 21:41:27,794 INFO    MainThread:38072 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-05-02 21:41:27,795 INFO    MainThread:38072 [wandb_setup.py:_flush():76] Configure stats pid to 38072
2024-05-02 21:41:27,795 INFO    MainThread:38072 [wandb_setup.py:_flush():76] Loading settings from C:\Users\RyukiRi\.config\wandb\settings
2024-05-02 21:41:27,795 INFO    MainThread:38072 [wandb_setup.py:_flush():76] Loading settings from E:\Projects\Non-IID-Robust-Federated-Learning-Algorithms\wandb\settings
2024-05-02 21:41:27,795 INFO    MainThread:38072 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-02 21:41:27,795 INFO    MainThread:38072 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': 'e:\\Projects\\Non-IID-Robust-Federated-Learning-Algorithms\\train.py', 'program': 'e:\\Projects\\Non-IID-Robust-Federated-Learning-Algorithms\\train.py'}
2024-05-02 21:41:27,795 INFO    MainThread:38072 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-02 21:41:27,795 INFO    MainThread:38072 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-02 21:41:27,795 INFO    MainThread:38072 [wandb_init.py:_log_setup():521] Logging user logs to E:\Projects\Non-IID-Robust-Federated-Learning-Algorithms\wandb\run-20240502_214127-80ncpobs\logs\debug.log
2024-05-02 21:41:27,796 INFO    MainThread:38072 [wandb_init.py:_log_setup():522] Logging internal logs to E:\Projects\Non-IID-Robust-Federated-Learning-Algorithms\wandb\run-20240502_214127-80ncpobs\logs\debug-internal.log
2024-05-02 21:41:27,796 INFO    MainThread:38072 [wandb_init.py:init():561] calling init triggers
2024-05-02 21:41:27,796 INFO    MainThread:38072 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {'user': 'gsli', 'agg_mth': 'ligengwk', 'retrain': False, 'real_world': 2, 'num_clients': 20, 'num_selected': 6, 'num_clusters': 8, 'validation_split': 0.1, 'classes_pc': 2, 'baseline_num': 100, 'num_rounds': 150, 'epochs': 5, 'lr': 0.1, 'batch_size': 32, 'retrain_epochs': 5, 'verbose': False}
2024-05-02 21:41:27,796 INFO    MainThread:38072 [wandb_init.py:init():611] starting backend
2024-05-02 21:41:27,796 INFO    MainThread:38072 [wandb_init.py:init():615] setting up manager
2024-05-02 21:41:27,799 INFO    MainThread:38072 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-05-02 21:41:27,803 INFO    MainThread:38072 [wandb_init.py:init():623] backend started and connected
2024-05-02 21:41:27,811 INFO    MainThread:38072 [wandb_init.py:init():715] updated telemetry
2024-05-02 21:41:27,853 INFO    MainThread:38072 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-05-02 21:41:28,902 INFO    MainThread:38072 [wandb_run.py:_on_init():2357] communicating current version
2024-05-02 21:41:30,794 INFO    MainThread:38072 [wandb_run.py:_on_init():2366] got version response 
2024-05-02 21:41:30,794 INFO    MainThread:38072 [wandb_init.py:init():799] starting run threads in backend
2024-05-02 21:41:35,123 INFO    MainThread:38072 [wandb_run.py:_console_start():2335] atexit reg
2024-05-02 21:41:35,124 INFO    MainThread:38072 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-05-02 21:41:35,124 INFO    MainThread:38072 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-05-02 21:41:35,125 INFO    MainThread:38072 [wandb_run.py:_redirect():2280] Redirects installed.
2024-05-02 21:41:35,125 INFO    MainThread:38072 [wandb_init.py:init():842] run started, returning control to user process
